DATE,PRCP,TMAX,TMIN
2017-09-18,238,24.5,12.199999999999999
2017-10-09,0,23,12
2017-10-24,0,22.100000000000001,6.4000000000000004
2017-10-26,0,21.800000000000001,8.5999999999999996
2017-11-25,0,19.100000000000001,10.6
2017-12-02,46,9.0999999999999996,6
2017-12-20,0,12.800000000000001,3
2017-01-16,0,10.5,-1.3999999999999999
2017-01-17,0,11.1,-0.69999999999999996
2017-01-23,0,14.800000000000001,7.7000000000000002
2017-02-07,0,15.699999999999999,4.4000000000000004
2017-02-13,0,17.100000000000001,7.5
2017-02-20,0,16.300000000000001,4.5999999999999996
2017-03-28,0,17.600000000000001,5.2999999999999998
2017-04-16,0,20.600000000000001,10
2017-06-23,0,29.100000000000001,18.600000000000001
2017-07-02,0,27.199999999999999,16
2017-07-08,0,31.100000000000001,18.699999999999999
2017-07-13,0,28.399999999999999,19.899999999999999
2017-08-09,0,32.399999999999999,19.899999999999999
2017-08-10,4,30.100000000000001,19.800000000000001
2017-08-27,0,29.5,16.899999999999999
2017-10-19,0,25.5,9.9000000000000004
2017-10-20,0,26.300000000000001,10.9
2017-11-24,0,17.399999999999999,6.2000000000000002
2017-11-29,0,12.4,9.4000000000000004
2017-12-14,141,14.800000000000001,7.5999999999999996
2017-12-19,0,14,4
2017-12-25,2,14.699999999999999,7.7000000000000002
2017-12-28,16,10.699999999999999,7.0999999999999996
2018-01-21,145
2018-02-08,3,12
2018-02-21,8,12.4
2018-03-03,94,,6.2000000000000002
2018-03-04,43,12.9,6.5
2018-03-09,0,16.300000000000001
2018-03-14,0,16.199999999999999,6
2018-04-03,0,21.899999999999999
2018-04-17,0,18.399999999999999
2018-04-30,18
2018-05-05,43,22.600000000000001,12.4
2018-05-15,305,18.5
2018-05-24,0,23.399999999999999,12.300000000000001
2018-05-30,3,24.5,17.699999999999999
2018-06-11,0
2018-06-15,3,25.600000000000001
2018-07-02,0,27.199999999999999,21
2018-07-03,0,28.300000000000001
2018-08-06,0,31.899999999999999
2018-08-12,0,,17.699999999999999
2018-09-14,0,28.300000000000001,17.699999999999999
2018-09-19,0,28.899999999999999
2018-10-19,0,,14.9
2018-11-01,89,21.800000000000001
2018-01-04,0
2018-02-10,20,13
2018-02-11,0,13.4,1.8999999999999999
2018-02-16,10,14.800000000000001,8.8000000000000007
2018-02-18,18
2018-03-30,0,19.5,7.4000000000000004
2018-06-10,0,27.199999999999999,15.800000000000001
